"","x"
"169","BRD.K60866521.001.07.1"
"170","BRD.K56558538.003.11.9"
"171","BRD.A57382968.001.29.0"
"172","BRD.K73541271.001.03.6"
"173","BRD.A20239487.001.24.9"
"174","BRD.K33425534.001.12.5"
"175","BRD.K74501079.001.18.1"
"176","BRD.A31159102.003.30.4"
"177","BRD.K62200014.003.10.5"
"178","BRD.K44876623.001.03.7"
"179","BRD.K44974079.001.01.3"
"180","BRD.K62310379.001.10.5"
"181","BRD.K63430059.001.17.2"
"182","BRD.K35520305.001.17.7"
"183","BRD.K74190368.001.04.3"
"184","BRD.K74195153.050.12.1"
"185","BRD.K74339692.001.01.9"
"186","BRD.K36386086.001.01.1"
"187","BRD.A04252265.003.01.4"
"188","BRD.K45252063.001.13.6"
"189","BRD.K00573984.003.01.5"
"190","BRD.K63343048.001.12.2"
"191","BRD.K27393415.001.01.0"
"192","BRD.K31283835.048.04.4"
"193","BRD.A74914197.001.02.9"
"194","BRD.K75037734.003.13.9"
"195","BRD.K75089421.003.24.5"
"196","BRD.A46179541.311.02.0"
"197","BRD.K59058747.001.20.9"
"198","BRD.K58160573.001.05.4"
"199","BRD.K29462201.001.01.9"
"200","BRD.K46654563.238.01.0"
"201","BRD.K46692793.004.01.8"
"202","BRD.K64052750.001.17.5"
"203","BRD.A33168282.003.18.0"
"204","BRD.K17849083.001.31.1"
"205","BRD.K76022557.003.02.7"
"206","BRD.K64381438.001.03.8"
"207","BRD.K76205745.237.16.5"
"208","BRD.A31811760.001.06.7"
"209","BRD.A18233884.003.02.7"
"210","BRD.A28044053.001.01.7"
"211","BRD.K86436199.003.01.3"
"212","BRD.K67121414.001.03.3"
"213","BRD.K47639036.003.06.6"
"214","BRD.K83245588.001.01.4"
"215","BRD.K65781196.001.03.0"
"216","BRD.K33732501.004.01.0"
"217","BRD.K76810206.001.07.3"
"218","BRD.K76841105.001.04.7"
"219","BRD.K35586044.003.15.4"
"220","BRD.K76953762.001.08.5"
"221","BRD.K42260897.001.09.2"
"222","BRD.K31111078.001.04.2"
"223","BRD.K97799481.230.01.7"
"224","BRD.K31385749.003.01.3"
"225","BRD.K48300629.001.14.5"
"226","BRD.K48367671.001.05.9"
"227","BRD.K85503079.001.02.8"
"228","BRD.K54496168.003.01.2"
"229","BRD.K68770713.001.01.8"
"230","BRD.K85554912.001.08.9"
"231","BRD.K66615216.003.14.8"
"232","BRD.K62685538.001.01.7"
"233","BRD.K88682005.001.15.8"
"234","BRD.K33814251.001.02.2"
"235","BRD.K15933101.003.06.1"
"236","BRD.K21528677.001.03.6"
"237","BRD.K77947974.001.16.3"
"238","BRD.K54262262.001.09.0"
"239","BRD.K78010432.001.21.5"
"240","BRD.K82143716.001.19.9"
"241","BRD.K78113049.001.16.2"
"242","BRD.K31731454.237.02.5"
"243","BRD.K33226500.001.01.0"
"244","BRD.K31812033.003.11.0"
"245","BRD.K49075727.001.08.5"
"246","BRD.A67097164.001.18.7"
"247","BRD.K44942604.346.05.4"
"248","BRD.A49160188.003.12.7"
"249","BRD.K49328571.001.15.0"
"250","BRD.K49350383.001.13.7"
"251","BRD.A49399758.015.01.8"
"252","BRD.K67277431.002.10.5"
"253","BRD.A63310107.001.04.8"
"254","BRD.A31521121.001.26.4"
"255","BRD.A16296925.001.01.3"
"256","BRD.K78692225.001.24.5"
"257","BRD.K49671696.045.08.5"
"258","BRD.A49765801.001.04.1"
"259","BRD.K49807096.003.15.5"
"260","BRD.K66876909.001.12.6"
"261","BRD.K32247306.001.29.4"
"262","BRD.K79501723.001.04.6"
"263","BRD.K79602928.003.19.9"
"264","BRD.K79759585.048.04.8"
"265","BRD.A79768653.001.12.0"
"266","BRD.K33211335.004.01.7"
"267","BRD.K34469523.003.03.0"
"268","BRD.K50398167.236.22.7"
"269","BRD.K50422030.001.05.3"
"270","BRD.K99300445.003.21.6"
"271","BRD.K50590187.001.19.9"
"272","BRD.K64994968.001.32.5"
"273","BRD.K51937257.001.01.4"
"274","BRD.K73541271.001.03.6"
"275","BRD.A20239487.001.24.9"
"276","BRD.K33425534.001.12.5"
"277","BRD.K74501079.001.18.1"
"278","BRD.A31159102.003.30.4"
"279","BRD.K62200014.003.10.5"
"280","BRD.K44876623.001.03.7"
"281","BRD.K44974079.001.01.3"
"282","BRD.K62310379.001.10.5"
"283","BRD.K63430059.001.17.2"
"284","BRD.K35520305.001.17.7"
"285","BRD.K74190368.001.04.3"
"286","BRD.K74195153.050.12.1"
"287","BRD.K74339692.001.01.9"
"288","BRD.K36386086.001.01.1"
"289","BRD.A04252265.003.01.4"
"290","BRD.K45252063.001.13.6"
"291","BRD.K00573984.003.01.5"
"292","BRD.K63343048.001.12.2"
"293","BRD.K27393415.001.01.0"
"294","BRD.K31283835.048.04.4"
"295","BRD.A74914197.001.02.9"
"296","BRD.K75037734.003.13.9"
"297","BRD.K75089421.003.24.5"
"298","BRD.A46179541.311.02.0"
"299","BRD.K59058747.001.20.9"
"300","BRD.K58160573.001.05.4"
"301","BRD.K29462201.001.01.9"
"302","BRD.K46654563.238.01.0"
"303","BRD.K46692793.004.01.8"
"304","BRD.K64052750.001.17.5"
"305","BRD.A33168282.003.18.0"
"306","BRD.K17849083.001.31.1"
"307","BRD.K76022557.003.02.7"
"308","BRD.K64381438.001.03.8"
"309","BRD.K76205745.237.16.5"
"310","BRD.A31811760.001.06.7"
"311","BRD.A18233884.003.02.7"
"312","BRD.A28044053.001.01.7"
"313","BRD.K86436199.003.01.3"
"314","BRD.K67121414.001.03.3"
"315","BRD.K47639036.003.06.6"
"316","BRD.K83245588.001.01.4"
"317","BRD.K65781196.001.03.0"
"318","BRD.K33732501.004.01.0"
"319","BRD.K76810206.001.07.3"
"320","BRD.K76841105.001.04.7"
"321","BRD.K35586044.003.15.4"
"322","BRD.K76953762.001.08.5"
"323","BRD.K42260897.001.09.2"
"324","BRD.K31111078.001.04.2"
"325","BRD.K97799481.230.01.7"
"326","BRD.K31385749.003.01.3"
"327","BRD.K48300629.001.14.5"
"328","BRD.K48367671.001.05.9"
"329","BRD.K85503079.001.02.8"
"330","BRD.K54496168.003.01.2"
"331","BRD.K68770713.001.01.8"
"332","BRD.K85554912.001.08.9"
"333","BRD.K66615216.003.14.8"
"334","BRD.K62685538.001.01.7"
"335","BRD.K88682005.001.15.8"
"336","BRD.K33814251.001.02.2"
"337","BRD.K15933101.003.06.1"
"338","BRD.K21528677.001.03.6"
"339","BRD.K77947974.001.16.3"
"340","BRD.K54262262.001.09.0"
"341","BRD.K78010432.001.21.5"
"342","BRD.K82143716.001.19.9"
"343","BRD.K78113049.001.16.2"
"344","BRD.K31731454.237.02.5"
"345","BRD.K33226500.001.01.0"
"346","BRD.K31812033.003.11.0"
"347","BRD.K49075727.001.08.5"
"348","BRD.A67097164.001.18.7"
"349","BRD.K44942604.346.05.4"
"350","BRD.A49160188.003.12.7"
"351","BRD.K49328571.001.15.0"
"352","BRD.K49350383.001.13.7"
"353","BRD.A49399758.015.01.8"
"354","BRD.K67277431.002.10.5"
"355","BRD.A63310107.001.04.8"
"356","BRD.A31521121.001.26.4"
"357","BRD.A16296925.001.01.3"
"358","BRD.K78692225.001.24.5"
"359","BRD.K49671696.045.08.5"
"360","BRD.A49765801.001.04.1"
"361","BRD.K49807096.003.15.5"
"362","BRD.K66876909.001.12.6"
"363","BRD.K32247306.001.29.4"
"364","BRD.K79501723.001.04.6"
"365","BRD.K79602928.003.19.9"
"366","BRD.K79759585.048.04.8"
"367","BRD.A79768653.001.12.0"
"368","BRD.K33211335.004.01.7"
"369","BRD.K34469523.003.03.0"
"370","BRD.K50398167.236.22.7"
"371","BRD.K50422030.001.05.3"
"372","BRD.K99300445.003.21.6"
"373","BRD.K50590187.001.19.9"
"374","BRD.K64994968.001.32.5"
"375","BRD.K51937257.001.01.4"
"376","BRD.K73541271.001.03.6"
"377","BRD.A20239487.001.24.9"
"378","BRD.K33425534.001.12.5"
"379","BRD.K74501079.001.18.1"
"380","BRD.A31159102.003.30.4"
"381","BRD.K62200014.003.10.5"
"382","BRD.K44876623.001.03.7"
"383","BRD.K44974079.001.01.3"
"384","BRD.K62310379.001.10.5"
"385","BRD.K63430059.001.17.2"
"386","BRD.K35520305.001.17.7"
"387","BRD.K74190368.001.04.3"
"388","BRD.K74195153.050.12.1"
"389","BRD.K74339692.001.01.9"
"390","BRD.K36386086.001.01.1"
"391","BRD.A04252265.003.01.4"
"392","BRD.K45252063.001.13.6"
"393","BRD.K00573984.003.01.5"
"394","BRD.K63343048.001.12.2"
"395","BRD.K27393415.001.01.0"
"396","BRD.K31283835.048.04.4"
"397","BRD.A74914197.001.02.9"
"398","BRD.K75037734.003.13.9"
"399","BRD.K75089421.003.24.5"
"400","BRD.A46179541.311.02.0"
"401","BRD.K59058747.001.20.9"
"402","BRD.K58160573.001.05.4"
"403","BRD.K29462201.001.01.9"
"404","BRD.K46654563.238.01.0"
"405","BRD.K46692793.004.01.8"
"406","BRD.K64052750.001.17.5"
"407","BRD.A33168282.003.18.0"
"408","BRD.K17849083.001.31.1"
"409","BRD.K76022557.003.02.7"
"410","BRD.K64381438.001.03.8"
"411","BRD.K76205745.237.16.5"
"412","BRD.A31811760.001.06.7"
"413","BRD.A18233884.003.02.7"
"414","BRD.A28044053.001.01.7"
"415","BRD.K86436199.003.01.3"
"416","BRD.K67121414.001.03.3"
"417","BRD.K47639036.003.06.6"
"418","BRD.K83245588.001.01.4"
"419","BRD.K65781196.001.03.0"
"420","BRD.K33732501.004.01.0"
"421","BRD.K76810206.001.07.3"
"422","BRD.K76841105.001.04.7"
"423","BRD.K35586044.003.15.4"
"424","BRD.K76953762.001.08.5"
"425","BRD.K42260897.001.09.2"
"426","BRD.K31111078.001.04.2"
"427","BRD.K97799481.230.01.7"
"428","BRD.K31385749.003.01.3"
"429","BRD.K48300629.001.14.5"
"430","BRD.K48367671.001.05.9"
"431","BRD.K85503079.001.02.8"
"432","BRD.K54496168.003.01.2"
"433","BRD.K68770713.001.01.8"
"434","BRD.K85554912.001.08.9"
"435","BRD.K66615216.003.14.8"
"436","BRD.K62685538.001.01.7"
"437","BRD.K88682005.001.15.8"
"438","BRD.K33814251.001.02.2"
"439","BRD.K15933101.003.06.1"
