"","x"
"250","UQCRC1..7384."
"251","STARD3NL..83930."
"252","CD9..928."
"253","HHATL..57467."
"254","NCAPD2..9918."
"255","IFFO1..25900."
"256","GIPR..2696."
"257","PHF7..51533."
"258","SEMA3G..56920."
"259","NISCH..11188."
"260","STAB1..23166."
"261","FUZ..80199."
"262","SLC6A13..6540."
"263","IDS..3423."
"264","PRSS3..5646."
"265","ZNF200..7752."
"266","CD4..920."
"267","LRRC23..10233."
"268","BTK..695."
"269","HFE..3077."
"270","SCMH1..22955."
"271","FYN..2534."
"272","HIVEP2..3097."
"273","FMO1..2326."
"274","ELOA..6924."
"275","LYPLA2..11313."
"276","CLCN6..1185."
"277","MRC2..9902."
"278","NME1.NME2..654364."
"279","SLC6A7..6534."
"280","TSPAN9..10867."
"281","BTBD7..55727."
"282","APBA3..9546."
"283","MKS1..54903."
"284","ABHD5..51099."
"285","ANOS1..3730."
"286","AKAP8L..26993."
"287","MBTD1..54799."
"288","UTP18..51096."
"289","RNF216..54476."
"290","TTC19..54902."
"291","PTBP1..5725."
"292","DPF1..8193."
"293","SYT7..9066."
"294","LARS2..23395."
"295","PIK3C2A..5286."
"296","PLAUR..5329."
"297","ANLN..54443."
"298","WIZ..58525."
"299","RABGAP1..23637."
"300","DCN..1634."
"301","QPCTL..54814."
"302","PPP5C..5536."
"303","CEP68..23177."
"304","MAP4K3..8491."
"305","ZBTB32..27033."
"306","TYROBP..7305."
"307","TMEM159..57146."
"308","GABRA3..2556."
"309","BRCA1..672."
"310","ERCC1..2067."
"311","CD22..933."
"312","SEMA3B..7869."
"313","MBTPS2..51360."
"314","PRICKLE3..4007."
"315","LTF..4057."
"316","EXTL3..2137."
"317","NR1H4..9971."
"318","ELOVL5..60481."
"319","ALOX5..240."
"320","KDM5D..8284."
"321","CALCOCO1..57658."
"322","UBR7..55148."
"323","MAP4K5..11183."
"324","EHD3..30845."
"325","PSMC4..5704."
"326","MAN2B2..23324."
"327","SLC7A14..57709."
"328","CLDN11..5010."
"329","SLC25A39..51629."
"330","MVP..9961."
"331","NUB1..51667."
"332","PGM3..5238."
"333","RWDD2A..112611."
"334","CLK1..1195."
"335","POLR3B..55703."
"336","ANGEL1..23357."
"337","RNF14..9604."
"338","DNASE1L1..1774."
"339","DDX11..1663."
"340","HEBP1..50865."
"341","GPRC5A..9052."
"342","MAMLD1..10046."
"343","CD6..923."
"344","TACC3..10460."
"345","UFL1..23376."
"346","POLA2..23649."
"347","ZC3H3..23144."
"348","CAPN1..823."
"349","ACP3..55."
"350","MDH1..4190."
"351","SLC30A9..10463."
"352","MTMR11..10903."
"353","COX15..1355."
"354","CCDC88C..440193."
"355","YAF2..10138."
"356","ZMYND11..10771."
"357","WAS..7454."
"358","DPEP1..1800."
"359","BID..637."
"360","MATR3..9782."
"361","NPC1L1..29881."
