"","x"
"324","SLC30A9"
"325","MTMR11"
"326","COX15"
"327","CCDC88C"
"328","YAF2"
"329","ZMYND11"
"330","WAS"
"331","DPEP1"
"332","BID"
"333","MATR3"
"334","XYLT2"
"335","RGPD5"
"336","STMN4"
"337","NUDCD3"
"338","ISL1"
"339","CHDH"
"340","IL20RA"
"341","GLT8D1"
"342","ATP2C1"
"343","IGF1"
"344","SLC38A5"
"345","RALBP1"
"346","RUFY3"
"347","CNTN1"
"348","WWTR1"
"349","AGPS"
"350","CXorf56"
"351","TTC27"
"352","ZNF582"
"353","VSIG2"
"354","PHLDB1"
"355","CYP24A1"
"356","PRDM11"
"357","SYT13"
"358","SNAI2"
"359","CD74"
"360","HGF"
"361","ZRANB1"
"362","NCDN"
"363","ADGRA2"
"364","ZFP64"
"365","MNAT1"
"366","SAMD4A"
"367","RUNX3"
"368","MRE11"
"369","PLEKHB1"
"370","SERPINB1"
"371","SPAST"
"372","NRXN3"
"373","OSBPL5"
"374","AQR"
"375","CPS1"
"376","FHL1"
"377","RTF2"
"378","NLRP2"
"379","SLC45A4"
"380","RNF10"
"381","ZNF839"
"382","ZDHHC6"
"383","GRAMD1B"
"384","RNH1"
"385","NDUFS1"
"386","RB1CC1"
"387","ERP44"
"388","ALAS1"
"389","BIRC3"
"390","AKAP11"
"391","GLRX2"
"392","SNAPC1"
"393","DERA"
"394","STRAP"
"395","ABCC2"
"396","DEF6"
"397","PLEKHO1"
"398","GCLM"
"399","UBR2"
"400","EHD2"
"401","DEPDC1"
"402","CCDC28A"
"403","RRAGD"
"404","HSF2"
"405","PHF20"
"406","HSD17B6"
"407","NR1H3"
"408","TYMP"
"409","NCAPH2"
"410","TOMM34"
"411","SEC63"
"412","KPNA6"
"413","VIM"
"414","FAS"
"415","RNASET2"
"416","CD44"
"417","KCNG1"
"418","AGPAT4"
"419","SLAMF7"
"420","BTN3A1"
"421","MIPEP"
"422","PRKCH"
"423","IFNGR1"
"424","B4GALT7"
"425","SH2D2A"
"426","VRK2"
"427","TNFRSF1B"
"428","VEZT"
"429","POU2F2"
"430","BRD9"
"431","SNX1"
"432","TBPL1"
"433","ARNTL2"
"434","BCLAF1"
"435","SLC39A9"
"436","ANK1"
"437","TFB1M"
"438","RABEP1"
"439","HMGB3"
"440","NUP160"
"441","BAK1"
"442","IKZF2"
"443","GRN"
"444","FAM13B"
"445","ARHGAP31"
"446","CENPQ"
"447","SARS1"
"448","RANBP3"
"449","ARID4A"
"450","EIPR1"
"451","PNPLA6"
"452","IFT88"
"453","ALG1"
"454","ZCCHC8"
"455","ABCF2"
"456","CHPF2"
"457","LRRC7"
"458","FUT8"
"459","UBA6"
"460","GAB2"
"461","ATP6V0A1"
"462","PIAS1"
"463","SLC4A7"
"464","APBA2"
"465","MAP2K3"
"466","EFCAB1"
"467","TMSB10"
"468","ASTE1"
"469","RNF19A"
"470","PEX3"
"471","GABARAPL2"
"472","SH3YL1"
"473","FAM136A"
"474","VCL"
"475","DEPDC1B"
"476","DAPK2"
"477","NSMAF"
"478","ADSS2"
"479","STAP1"
"480","TIMP2"
"481","RFC1"
"482","TBC1D23"
"483","CUL3"
"484","MYOM2"
"485","ZZZ3"
"486","SLC18A1"
"487","USP2"
"488","TUBG2"
"489","RPL26L1"
"490","FLT4"
"491","NSUN2"
"492","FBXO42"
"493","MFAP3"
"494","MRI1"
"495","METTL1"
"496","HOXC8"
"497","AGA"
"498","PI4K2B"
"499","BOD1L1"
"500","MAT2B"
"501","TLL1"
"502","EDC4"
"503","TRIO"
"504","VCAN"
"505","CLEC16A"
"506","MSR1"
"507","CDH1"
"508","MTREX"
"509","DNAH5"
"510","ZFYVE16"
"511","RIPOR1"
"512","RAI14"
"513","PNKP"
"514","PHLPP2"
"515","SPDL1"
"516","STAU2"
"517","SLC66A1"
"518","CTNS"
"519","RTN4R"
"520","PHF23"
"521","CDH10"
"522","INPP4A"
"523","RAB27B"
"524","PSMA4"
"525","LSG1"
"526","PARP3"
"527","TNC"
"528","THAP3"
"529","RIPOR3"
"530","TDP1"
"531","AIFM2"
"532","SPATA7"
"533","MED17"
"534","RETSAT"
"535","CAPG"
"536","AP2S1"
"537","ADAM28"
"538","BARX2"
"539","DCUN1D1"
"540","JADE2"
"541","ZIC2"
"542","LCP2"
"543","TRIT1"
"544","ADRB1"
"545","CUL7"
"546","CTNNA1"
"547","PHKA2"
"548","CNTLN"
"549","EPHA3"
"550","HSPA5"
"551","DSG2"
"552","GEMIN8"
"553","OFD1"
"554","GPM6B"
"555","MAGEC2"
"556","PREX2"
"557","WDR37"
"558","YTHDC2"
"559","CTPS2"
"560","ATP6V1H"
"561","POLR2B"
"562","FAM214A"
"563","ARAP2"
"564","TPR"
"565","CP"
"566","KATNIP"
"567","DTNBP1"
"568","XK"
"569","ANO2"
"570","C12orf4"
"571","SCML1"
"572","WWC3"
"573","ARHGAP6"
"574","MAP4"
"575","GOPC"
"576","ROS1"
"577","USP28"
"578","HDAC9"
"579","TSPAN17"
"580","NOP16"
"581","CC2D2A"
"582","RRM2B"
"583","ZNF800"
"584","TNFRSF17"
"585","SNX29"
"586","LMO3"
"587","MRPS10"
"588","RSF1"
"589","VPS13D"
"590","CELF2"
"591","FAM120A"
"592","R3HDM1"
"593","COL9A2"
"594","KITLG"
"595","ERCC8"
"596","ADAMTS6"
"597","H6PD"
"598","VAMP3"
"599","PER3"
"600","UTS2"
"601","TNFRSF9"
"602","EPN3"
"603","LTBP1"
"604","RCN1"
"605","ELN"
"606","RFC2"
"607","ARID1B"
"608","CLPTM1L"
"609","NEDD4L"
"610","PPP1R3F"
"611","HEXB"
"612","PTCD2"
"613","JKAMP"
"614","DKK3"
"615","ARHGEF5"
"616","NFE2L3"
"617","MCUR1"
"618","LIMA1"
"619","LETMD1"
"620","SLC4A8"
"621","LAMC3"
"622","PTGER3"
"623","TNIP3"
"624","MAPK9"
"625","COL23A1"
"626","BCAR1"
"627","FAM160A2"
"628","HERPUD1"
"629","HOMER3"
"630","RAD51"
"631","POLQ"
"632","PIK3CB"
"633","CYBA"
"634","THOC3"
"635","HEBP2"
"636","MPHOSPH9"
"637","PLEKHA5"
"638","PRSS8"
"639","SIKE1"
"640","RRP12"
"641","FNIP2"
"642","MSMO1"
"643","TTC17"
"644","ALX4"
"645","FSTL4"
"646","FOXN3"
"647","AKR7A2"
"648","MRTO4"
"649","NNAT"
"650","USE1"
"651","MCF2L2"
"652","NRIP2"
"653","LAMA3"
"654","AP5M1"
"655","ANAPC4"
"656","KCNQ1"
"657","TRAPPC3"
"658","THRAP3"
"659","PHPT1"
"660","ENTPD2"
"661","LY75"
"662","ARID4B"
"663","OPN3"
"664","SDCCAG8"
"665","PTPRN"
"666","HHAT"
"667","KIF1B"
"668","FOXC1"
"669","TBC1D22A"
"670","SYNE2"
"671","PLEKHH1"
"672","ATP9A"
"673","FAM168A"
"674","RELT"
"675","GALC"
"676","NOP58"
"677","SZRD1"
"678","KCNH2"
"679","CUL1"
"680","FAM114A2"
"681","CYFIP2"
"682","TAB2"
"683","GINM1"
"684","EIF2AK2"
"685","USP36"
"686","KMT2C"
"687","MCOLN3"
"688","CCDC85A"
"689","PUM2"
"690","MRPL43"
"691","ITIH4"
"692","HPF1"
"693","ZFR"
"694","ZNF280C"
"695","NPFFR2"
"696","PHF21B"
"697","TRAF1"
"698","RC3H2"
"699","IL17RB"
"700","TRAF3IP2"
"701","GYG2"
"702","DCBLD2"
"703","SERPINB3"
"704","SOAT1"
"705","PKP2"
"706","GDI2"
"707","PRDM1"
"708","ATG5"
"709","TMCC3"
"710","PITHD1"
"711","MTA3"
"712","USP13"
"713","ATP11B"
"714","LAMC2"
"715","CDK14"
"716","SEC61A1"
"717","PPP1R12A"
"718","RASGRF1"
"719","CAMK2B"
"720","CROCC"
"721","POLR3E"
"722","ATP2B4"
"723","ZC3H11A"
"724","RIOK2"
"725","YIPF1"
"726","NDC1"
"727","DGKG"
"728","FLYWCH1"
"729","UNKL"
"730","TBXAS1"
"731","PARP12"
"732","ALDH18A1"
"733","TARBP1"
"734","GATB"
"735","MXD1"
"736","CDK17"
"737","DNAJC25"
"738","SLC2A3"
"739","PSD"
"740","CTDP1"
"741","YBX3"
"742","STYK1"
"743","WNK1"
"744","CCAR1"
"745","OGFR"
