gene
UBD
CXCL13
CXCL11
COL2A1
IDO1
CCL5
PLAAT4
S100A8
GZMB
PSMB9
IGJ
IL23A
CD52
KRT17
KYNU
TNFSF10
MIA
RTP4
ASPN
KMO
ITM2A
SFRP1
TNFAIP8
KRT16
FOXC1
APOD
PTGDS
DUSP5
HTRA1
SPTLC2
AADAT
ABCA6
ABCA8
ABCA9
ABCC9
ABCD2
ABI3BP
ACAP1
ACE
ACOD1
ACSL5
ACTA2
ACVR1
ACVRL1
ACY3
ADA2
ADAM33
ADAM8
ADAMDEC1
ADAMTS10
ADAMTS7
ADAMTS8
ADAMTS9
ADAMTS9-AS1
ADAMTS9-AS2
ADAMTSL2
ADCY4
ADCYAP1R1
ADGRA2
ADGRA3
ADGRD1
ADGRF5
ADGRG5
ADGRL4
ADRA1D
ADRA2A
AEBP1
AGAP1
AGAP2
AGTR1
AIF1
AIM2
AKAP5
AKNA
ALOX5
ALOX5AP
ALPK3
ANGPTL1
ANKRD36BP2
ANTXR1
AOC3
AOX1
APLNR
APOBEC3D
APOBEC3G
APOBEC3H
APOL6
AQP1
ARHGAP15
ARHGAP25
ARHGAP30
ARHGAP4
ARHGAP45
ARHGAP6
ARHGDIB
ARHGEF15
ARHGEF25
ARHGEF40
ARMH1
ARRB2
ARRDC5
ATP1A2
ATP8B4
ATRN
B2M
BACE1
BATF
BATF2
BCHE
BCL2L14
BCL6B
BCORL1
BFSP1
BHLHE22
BHLHE40-AS1
BICC1
BIN2
BIRC3
BLK
BMERB1
BMP5
BTK
BTLA
BTN3A1
C11orf21
C11orf95
C16orf54
C19orf38
C1DP5
C1orf162
C1QA
C1QB
C1QC
C1QTNF3
C1QTNF7
C2
C7
C9orf139
CACNA1C
CALCRL
CALHM2
CALHM6
CAMSAP2
CARD9
CARMIL2
CARMN
CASP10
CASP4LP
CASP5
CASS4
CBARP
CBLN4
CCDC102B
CCDC170
CCDC8
CCDC85A
CCL14
CCL19
CCL25
CCL3-AS1
CCL4L2
CCL8
CCM2L
CCN2
CCR1
CCR2
CCR4
CCR5
CCR5AS
CCR6
CCR7
CCR8
CCRL2
CD14
CD160
CD19
CD200R1
CD226
CD244
CD27
CD274
CD33
CD34
CD37
CD3D
CD3E
CD3G
CD4
CD40
CD40LG
CD5
CD53
CD6
CD69
CD7
CD72
CD74
CD79A
CD79B
CD80
CD8A
CD93
CDC42SE2
CDH11
CDH13
CDH5
CDO1
CEACAM21
CEACAM4
CEP250-AS1
CERS1
CFB
CFLAR
CFP
CGNL1
CHPF
CHRDL1
CIITA
CLDN5
CLEC10A
CLEC14A
CLEC2D
CLEC3B
CLEC4A
CLEC4C
CLEC4D
CLEC6A
CLEC9A
CLECL1
CLIC2
CLNK
CMPK2
CMTM4
CNR2
CNTN4
COL12A1
COL14A1
COL18A1
COL4A2
COL4A4
COL6A1
COL8A1
COLEC12
CORO1A
CORO1A-AS1
COX7A1
CPED1
CR1
CR1L
CREB3L1
CRISPLD1
CRISPLD2
CRLF1
CRTAM
CSF2RB
CST7
CTLA4
CTSS
CTSW
CXCL12
CXCL9
CXCR2P1
CXCR3
CXCR4
CXCR5
CXCR6
CYBB
CYBRD1
CYLD-AS1
CYS1
CYSLTR1
CYTH3
CYTIP
CYYR1
DBH
DBH-AS1
DCHS1
DCLRE1CP1
DCN
DDAH1
DDX60
DENND1C
DENND2D
DGKI
DIPK2B
DIRAS1
DKK2
DLL4
DLX1
DLX2
DLX2-DT
DNAJC5B
DNM1
DOCK8
DOK2
DOK3
DPT
DTNB-AS1
DTX3L
DYNC2H1
E2F3P1
EBF1
EBF2
EBI3
ECM2
ECSCR
EDIL3
EDIL3-DT
EFCC1
EFNB3
ELN
EMCN
EML4-AS1
ENG
EOMES
EPSTI1
ESAM
EVI2B
EXOC3L4
F10
F13A1
FAM110D
FAM124B
FAM13C
FAM155A
FAM168A
FAM168B
FAM171A2
FAM30A
FARP1
FASLG
FAT4
FBLN5
FBN1
FBXO6
FCGR1CP
FCGR3A
FCRL1
FCRL4
FCRL6
FGD3
FGD5
FGF10
FGF14
FGF18
FGF7
FGL2
FGR
